array_size,speed
1000,0.059875000000000005
2000,0.24051
3000,0.542686
4000,0.8902359999999999
5000,1.4840299999999997
6000,2.0502219999999998
7000,2.8233629999999996
8000,3.993602000000001
9000,4.988190999999999
10000,6.3698070000000016
