array_size,speed
1000,0.059332000000004825
2000,0.206116999999999
3000,0.46802900000000136
4000,0.7706459999999993
5000,1.2352789999999985
6000,1.7241969999999966
7000,2.4702140000000057
8000,3.2267360000000025
9000,4.214739999999999
10000,5.179926000000002
